"2 и 3 декабря мы с нашей командой Рунити были на HighLoad++, где рассказывали и показывали, как выглядит интернет изнутри, что представляют собой домены, хостинг и облако, на каком стеке разрабатываются наши продукты. 
А еще для всех участников конференции мы организовали интерактивную чилаут-зону, где можно было задать собственную планку мастерства в шахматной партии, попробовать на вкус наш фирменный мармелад и проверить свои знания в интеллектуальном квесте «Загадки трех провайдеров». Самым смышленым и/или удачливым мы дарили призы.",0,1
"Желательно сперва прочесть ее, чтобы вникнуть в тему. Но, так как яжэлектронщик, то после ознакомления решил попробовать решить эту задачу сугубо «железячными» методами без единой строчки кода. H-мост L298N, который формирует импульсы амплитудой 24 вольта нужной полярности, было решено оставить, как в указанной заметке, а вот сигналы для него получать на цифровой «рассыпухе» без применения контроллеров. Тем более, что такая реализация отлично подходит как учебная задача для слушателей недавно вышедших с моим участием бесплатных онлайн-курсов по цифровой схемотехнике для начинающих:",0,2
"Около трех месяцев назад я задумался о том, что в ближайшем будущем взаимодействие человека с техносферой (программно-аппаратно-сетевой инфраструктурой) будет происходить скорее через мессенджеры, такие как Telegram, чем через привычный браузер. Частое использование чатов на смартфоне быстро подтолкнуло меня к попытке снова попробовать голосовой ввод вместо привычных тапов по виртуальной клавиатуре или набора слов жестами. К моему приятному удивлению, распознавание голоса сейчас достигло очень высокого уровня как на Android, так и на iPhone. Причем настолько высокого, что STT (speech-to-text) стал для меня основным способом ввода текста в чатах, включая браузер.",0,3
"В США уже успели окрестить произошедшее «самым крупным взломом телекоммуникационных сетей в истории». Его масштабы еще только предстоить оценить. В общем, с цифровым суверенитетом и национальным инфобезом по ту сторону океана тоже как-то не складывается. И пока Штаты имеют очень смутное представление о внутренней кухне компартии Китая, его разведка прослушивает высших должностных лиц США.

Так что инфобез уровня AT&T по сути изрядно портит репутацию всей американской ИБ-индустрии. Да и контрразведки как таковой — уважаемых партнеров по блоку НАТО вряд ли интересует вектор атаки. Главное, результат. А вот за него уже как-то стыдно.",0,4
"Имена, почты, телефоны, даты рождения, страны, айпишники, хеши паролей и прочее. При этом заявление по взлому от основателя — как отдельное слово в жанре реакций на утечки такого масштаба. Вкратце, «Ну вот мы наш отдел ИБ усиляли, молились, чтобы взломы нас обошли стороной, но не сложилось. IT-отдел мы, конечно, не виним, ребята — молодцы, а вот взломщики — шантажисты и нехорошие люди. Ошибки случаются, всем спасибо».

Не то чтобы от шарашки такого плана ждешь многого, но читается все равно с легким удивлением на лице. Впрочем, казино всегда в выигрыше, так что чего им стесняться. Ну слили и слили, дальше-то что? Вы нам деньги заносить перестанете, что ли?",0,5
"На фоне таких удручающих новостей ФСТЭК решила вести рейтинг объектов критической информационной инфраструктуры по уровню ИБ. В него попадут компании с низким уровнем защиты и утечками данных. В тестовом формате служба провела анализ ~100 объектов КИИ. Как у них обстоят дела? Спойлер: не очень. Минимальному уровню защищенности соответствуют 10% компаний.

",0,6
"Что в это входит, не раскрывают. Наличие ИБ-отдела и EDR-решений? Неизвестная технология резервного копирования? Отсутствие ломаного софта и облаков без пароля с единственной копией базы? Вопросы, вопросы... Рейтинг будет иметь рекомендательный характер: без давления, аудитов и прочих мер.",0,7
"Математика, та, что выше арифметики, малоприменима в обычной жизни. Но, она нужна для общего развития личности, как и остальные «скучные» школьные предметы. Однако, если вы мечтаете пойти в науку, развивать современные технологии, вроде искусственного интеллекта, работать на Космос либо Оборону страны, то математика там более, чем востребована. Посмотрите на смартфоны, квантовые компьютеры, криптовалюту, современных роботов, включая военные разработки, тот же «Орешник», к слову. Разве они были бы возможны без математики? Но, даже если вы ограничитесь, на будущей работе, программированием либо просто работой с автоматизированными системами, то и тогда математика вам, в той или иной мере, пригодится. Другими словами, если вы хотите быть Личностью – учитесь! В идеале, учеба должна стать, вообще, вашим смыслом жизни, ради вашего успешного будущего!",0,8
"Дело в том, что Jetpack Compose — это unbundled-библиотека. В этой статье я расскажу о том, что это значит и почему оно влияет на производительность, на примере нашего переезда на Compose.

В статье мы вместе ужаснемся тому, как долго открываются экраны после переезда на Compose. Но порадуемся за то, что теперь мы не скованы версией Андроида и можем писать Compose-код с расправленными крыльями!",0,9
"Как можно увидеть на скриншотах, мы уделяем огромное внимание UI и дизайну. По всему приложению у нас разбросана куча видео.

Для нас UI-перформанс — чрезвычайно важная вещь, мы стараемся постоянно за ним следить. Возможно, какие-то из описанных в статье вещей вам покажутся незначительными, а мы — замороченными на дизайне. Но для нас эти детали очень важны.

В 2023 году мы закончили пилить нашу первую большую фичу на Jetpack Compose. Тогда к нам пришел продакт и сказал:",0,10
